filename,guideline_id,title,clinical_area,nice_url,publication_date,update_date
NG28_type2_diabetes_management_2026-02-18.pdf,NG28,Type 2 diabetes in adults: management,type_2_diabetes,https://www.nice.org.uk/guidance/ng28,2015-12-02,2026-02-18
NG28_medicines_recommendations_summary_2026-03-04.pdf,NG28,Type 2 diabetes in adults: management — medicines recommendations summary,type_2_diabetes,https://www.nice.org.uk/guidance/ng28,2015-12-02,2026-03-04
NG28_visual_summary_medicines_2026-02-18.pdf,NG28,Type 2 diabetes in adults: management — visual summary of medicines,type_2_diabetes,https://www.nice.org.uk/guidance/ng28,2015-12-02,2026-02-18
NG28_glp1_tirzepatide_summary_2026-05-11.pdf,NG28,Type 2 diabetes in adults: management — GLP-1 and tirzepatide summary,type_2_diabetes,https://www.nice.org.uk/guidance/ng28,2015-12-02,2026-05-11
QS209_type2_diabetes_quality_standard_2026-02-18.pdf,QS209,Type 2 diabetes in adults,type_2_diabetes,https://www.nice.org.uk/guidance/qs209,2023-03-02,2026-02-18
NG17_type1_diabetes_adults_2022-08-17.pdf,NG17,Type 1 diabetes in adults: diagnosis and management,type_1_diabetes,https://www.nice.org.uk/guidance/ng17,2015-08-26,2022-08-17
TA924_tirzepatide_type2_diabetes_2025-09-01.pdf,TA924,Tirzepatide for treating type 2 diabetes,type_2_diabetes,https://www.nice.org.uk/guidance/ta924,2023-10-25,2025-09-01
NG3_diabetes_pregnancy_2020-12-16.pdf,NG3,Diabetes in pregnancy: management from preconception to the postnatal period,diabetes_pregnancy,https://www.nice.org.uk/guidance/ng3,2015-02-25,2020-12-16
PH38_type2_prevention_highrisk_2017-09-15.pdf,PH38,Type 2 diabetes: prevention in people at high risk,type_2_diabetes,https://www.nice.org.uk/guidance/ph38,2012-07-12,2017-09-15
NG18_diabetes_children_youngpeople_2023-05-11.pdf,NG18,Diabetes (type 1 and type 2) in children and young people: diagnosis and management,diabetes_children,https://www.nice.org.uk/guidance/ng18,2015-08-01,2023-05-11
